Item;Tipo de resolución;N° de resolución;Año;Fecha;Organización Deportiva;Distrito;Provincia;Dpto;Base legal;Procedimiento;Afiliación;Disciplina;Lugar de registro;N° partida;Caja;PQTE;Observación 1;Observación 2
26;DIRECCION EJECUTIVA;194-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ALEJANDRO VILLANUEVA;BREÑA;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BREÑA;FUTBOL;LIBRO DE CLUBES RDIPD;0839-84-86;178;186-201;;
27;DIRECCION EJECUTIVA;195-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL TORINO;BREÑA;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BREÑA;FUTBOL;LIBRO DE CLUBES RDIPD;0840-84-86;178;186-201;;
28;DIRECCION EJECUTIVA;196-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO JUVENTUD BON JANG ;BREÑA;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BREÑA;FUTBOL;LIBRO DE CLUBES RDIPD;0841-85-86;178;186-201;;
29;DIRECCION EJECUTIVA;197-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL MARIANO MELGAR;BARRANCA;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE BARRANCA;FUTBOL;LIBRO DE CLUBES RDIPD;0842-85-86;178;186-201;;
30;DIRECCION EJECUTIVA;198-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO FERROCARRIL;BARRANCA;BARRANCA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE BARRANCA;FUTBOL;LIBRO DE CLUBES RDIPD;0843-85-86;178;186-201;;
31;DIRECCION EJECUTIVA;199-DE-IPD-86;1986;;FALTANTE;;;;;;;;;;178;186-201;;
32;DIRECCION EJECUTIVA;200-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO HUMBERTO VALLE ;CERCADO DE LIMA;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CERCADO DE LIMA;FUTBOL;LIBRO DE CLUBES RDIPD;0845-85-86;178;186-201;;
33;DIRECCION EJECUTIVA;201-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO JUCU;CERCADO DE LIMA;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE VOLEIBOL DE LIMA;VOLEIBOL;LIBRO DE CLUBES RDIPD;0846-85-86;178;186-201;;
34;DIRECCION EJECUTIVA;202-DE-IPD-86;1986;;FALTANTE;;;;;;;;;;;;;
35;DIRECCION EJECUTIVA;203-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO HORIZONTES CLUB DE CAZA, PESCA Y TIRO DE VUELO;MIRAFLORES;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;FEDERACION PERUANA DE CAZA, PESCA Y TIRO AL VUELO;CAZA, PESCA Y TIRO AL VUELO;LIBRO DE CLUBES RDIPD;0848-85-86;178;202-216;;
36;DIRECCION EJECUTIVA;204-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ESTUDIANTIL FELIPE SANTIAGO ESTENOS;CHACLACAYO;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL Y VOLEIBOL DE CHACLACAYO;FUTBOL Y VOLEIBOL;LIBRO DE CLUBES RDIPD;0849-85-86;178;202-216;;
37;DIRECCION EJECUTIVA;205-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ESTUDIANTIL LA PORTADA;CHANCAY;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHANCAY;FUTBOL;LIBRO DE CLUBES RDIPD;0850-85-86;178;202-216;;
38;DIRECCION EJECUTIVA;206-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL MIGUEL GRAU;CHANCAY;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHANCAY;FUTBOL;LIBRO DE CLUBES RDIPD;0851-86-86;178;202-216;;
39;DIRECCION EJECUTIVA;207-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL SAN MARTIN;CHANCAY;HUARAL;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHANCAY;FUTBOL;LIBRO DE CLUBES RDIPD;0852-86-86;178;202-216;;
40;DIRECCION EJECUTIVA;208-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO UNIVERSITARIO;CHACLACAYO;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHACLACAYO;FUTBOL;LIBRO DE CLUBES RDIPD;0853-86-86;178;202-216;;
41;DIRECCION EJECUTIVA;209-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL, CULTURAL REAL SAN PEDRO F.C.;CHORRILLOS;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0854-86-86;178;202-216;;
42;DIRECCION EJECUTIVA;210-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO EL BRUJAS;CHORRILLOS;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0855-86-86;178;202-216;;
43;DIRECCION EJECUTIVA;211-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ESTUDIANTIL;CHORRILLOS;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0856-86-86;178;202-216;;
44;DIRECCION EJECUTIVA;212-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO JUVENTUD MILAN;CHORRILLOS;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0857-86-86;178;202-216;;
45;DIRECCION EJECUTIVA;213-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO JUVENTUD F.C.;CHORRILLOS;LIMA;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHORRILLOS;FUTBOL;LIBRO DE CLUBES RDIPD;0858-86-86;178;202-216;;
46;DIRECCION EJECUTIVA;214-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO JUVENTUD MIGUEL GRAU;CHILCA;CAÑETE;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHILCA;FUTBOL;LIBRO DE CLUBES RDIPD;0859-86-86;178;202-216;;
47;DIRECCION EJECUTIVA;215-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO CULTURAL DEFENSOR LEON XIII;CHILCA;CAÑETE;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHILCA;FUTBOL;LIBRO DE CLUBES RDIPD;0860-86-86;178;202-216;;
48;DIRECCION EJECUTIVA;216-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO JUVENTUS;CHILCA;CAÑETE;LIMA;DL 20555,21371,22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHILCA;FUTBOL;LIBRO DE CLUBES RDIPD;0861-86-86;178;202-216;;
49;DIRECCION EJECUTIVA;217-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO INDEPENDIENTE CHILCA;CHILCA;CAÑETE;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHILCA;FUTBOL;LIBRO DE CLUBES RDIPD;0905-91-86;178;217-235;;
50;DIRECCION EJECUTIVA;218-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO UNION SANTA ROSA DE CHILCA;CHILCA;CAÑETE;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHILCA;FUTBOL;LIBRO DE CLUBES RDIPD;0863-87-86;178;217-235;;
51;DIRECCION EJECUTIVA;219-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO FLAMENGO;CHILCA;CAÑETE;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHILCA;FUTBOL;LIBRO DE CLUBES RDIPD;0864-87-86;178;217-235;;
52;DIRECCION EJECUTIVA;220-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO INDEPENDIENTE ALFONSO UGARTE;CHILCA;CAÑETE;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHILCA;FUTBOL;LIBRO DE CLUBES RDIPD;0865-87-86;178;217-235;;
53;DIRECCION EJECUTIVA;221-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ALIANZA FRANCISCO BOLOGNESI;CHILCA;CAÑETE;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHILCA;FUTBOL;LIBRO DE CLUBES RDIPD;0866-87-86;178;217-235;;
54;DIRECCION EJECUTIVA;222-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO UNIVERSIDAD CATOLICA DE CHILCA;CHILCA;CAÑETE;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE CHILCA;FUTBOL;LIBRO DE CLUBES RDIPD;0867-87-86;178;217-235;;
55;DIRECCION EJECUTIVA;223-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ATLETICO RIVA AGÜERO;EL AGUSTINO;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DEL AGUSTINO;FUTBOL;LIBRO DE CLUBES RDIPD;0868-87-86;178;217-235;;
56;DIRECCION EJECUTIVA;224-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO JUVENTUD SEÑOR DEL MAR;HUALMAY;CHANCAY;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE HUACHO;FUTBOL;LIBRO DE CLUBES RDIPD;0869-87-86;178;217-235;;
57;DIRECCION EJECUTIVA;225-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ATLETICO CARQUIN;HUACHO;CHANCAY;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE HUACHO;FUTBOL;LIBRO DE CLUBES RDIPD;0870-87-86;178;217-235;;
58;DIRECCION EJECUTIVA;226-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO UNION BELLAVISTA;HUAURA;CHANCAY;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE HUAURA;FUTBOL;LIBRO DE CLUBES RDIPD;0871-88-86;178;217-235;;
59;DIRECCION EJECUTIVA;227-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO LA FLORIDA FSC DE CABUYAL;HUARAL;HUARAL;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE HUARAL;FUTBOL;LIBRO DE CLUBES RDIPD;0872-88-86;178;217-235;;
60;DIRECCION EJECUTIVA;228-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO JUVENTUD VICTORIA;HUARAL;HUARAL;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE HUARAL;FUTBOL;LIBRO DE CLUBES RDIPD;0873-88-86;178;217-235;;
61;DIRECCION EJECUTIVA;229-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ATLANTA;JESUS MARIA;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE JESUS MARIA;FUTBOL;LIBRO DE CLUBES RDIPD;0874-88-86;178;217-235;COPIA;
62;DIRECCION EJECUTIVA;230-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO REAL SAN FELIPE;LURIN;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE LURIN;FUTBOL;LIBRO DE CLUBES RDIPD;0875-88-86;178;217-235;;
63;DIRECCION EJECUTIVA;231-DINADAF-RD-86;1986;15/06/1986;CLUB DEPORTIVO MIGUEL GRAU DE TAHUANTINSUYO;INDEPENDENCIA;LIMA;LIMA;DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE INDEPENDENCIA;FUTBOL;LIBRO DE CLUBES RDIPD;0231-24-86;178;217-235;;
64;DIRECCION EJECUTIVA;232-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SPORT JOSE GALVEZ;LA VICTORIA ;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE LA VICTORIA;FUTBOL;LIBRO DE CLUBES RDIPD;0878-88-86;178;217-235;;
65;DIRECCION EJECUTIVA;233-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL 27 DE JULIO;LA VICTORIA ;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE LA VICTORIA;FUTBOL;LIBRO DE CLUBES RDIPD;0879-88-86;178;217-235;;
66;DIRECCION EJECUTIVA;234-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO CULTURAL ESTUDIANTIL RAYMONDI;LA VICTORIA ;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE LA VICTORIA;FUTBOL;LIBRO DE CLUBES RDIPD;0880-88-86;178;217-235;;
67;DIRECCION EJECUTIVA;235-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO SOCIAL RIMAC;MATUCANA;HUAROCHIRI;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE MATUCANA;FUTBOL;LIBRO DE CLUBES RDIPD;0881-89-86-;178;217-235;;
68;DIRECCION EJECUTIVA;236-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO ATLETICO JUVENTUD;MATUCANA;HUAROCHIRI;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE MATUCANA;FUTBOL;LIBRO DE CLUBES RDIPD;0882-89-86;178;236-259;;
69;DIRECCION EJECUTIVA;237-DE-IPD-86;1986;30/09/1986;CLUB DEPORTIVO DEFENSOR CASTILLA;MAGDALENA DEL MAR;LIMA;LIMA;DL 20555, 21371, 22068 - DL 328 Y REG - DS 07-86-ED;INSCRIPCION PRIMIGENIA;LIGA DISTRITAL DE FUTBOL DE MAGDALENA DEL MAR;FUTBOL;LIBRO DE CLUBES RDIPD;0883-89-86;178;236-259;;
